47	10	1096243, 1139038, 1141686, 1141888, 1141889, 1141890, 1141891, 1141892, 1141893, 1141894
48	4	1125550, 1129763, 1130384, 1130597
49	24	1130964, 1131132, 1135547, 1135754, 1136008, 1136063, 1136127, 1136426, 1136640, 1136705, 1136880, 1137098, 1137150, 1137203, 1137626, 1138846, 1139071, 1139112, 1140314, 1140669, 1141260, 1141439, 1141553, 1141885
50	28	1141895, 1141896, 1141897, 1141898, 1141899, 1141900, 1141901, 1141902, 1141903, 1141904, 1141905, 1141906, 1141907, 1141908, 1141909, 1141910, 1141911, 1141912, 1141913, 1141917, 1141918, 1141919, 1141920, 1141921, 1141922, 1141923, 1141924, 1141925
51	2	1141926, 1141927
52	3	1141934, 1141935, 1142035
53	3	1142161, 1142624, 1142625
54	2	1142626, 1143170
55	2	1143171, 1143172
56	2	1143173, 1143174
57	7	1143179, 1143180, 1143181, 1143182, 1143183, 1143184, 1143185
58	2	1143187, 1143188
59	4	1143189, 1143190, 1143191, 1143192
60	2	1143193, 1143194
61	7	1143204, 1143206, 1143207, 1143208, 1143209, 1143210, 1143211
62	13	1143223, 1143224, 1143226, 1143227, 1143228, 1143229, 1143267, 1143397, 1143398, 1143426, 1143427, 1143645, 1143688
63	6	1143225, 1143441, 1143443, 1143444, 1143502, 1143644
64	5	1143697, 1143721, 1143722, 1143843, 1143878
65	8	1143895, 1143922, 1143923, 1143924, 1143925, 1143926, 1144033, 1144035
66	4	1143898, 1143899, 1143900, 1143903
67	5	1143901, 1143902, 1143904, 1143905, 1143906
68	3	1143917, 1143918, 1143919
69	2	1144080, 1144081
